Criterion,max_depth,min_samples_split,accuracy
classification_error,5,14,0.83
classification_error,5,15,0.83
classification_error,5,16,0.83
classification_error,5,17,0.83
classification_error,5,18,0.83
classification_error,5,19,0.83
classification_error,5,20,0.83
classification_error,6,2,0.8275
classification_error,6,3,0.8275
classification_error,6,4,0.8275
classification_error,6,5,0.8275
classification_error,6,6,0.8275
classification_error,6,7,0.825
classification_error,6,8,0.825
classification_error,6,9,0.825
classification_error,6,10,0.825
classification_error,6,11,0.825
classification_error,6,12,0.825
classification_error,6,13,0.825
classification_error,6,14,0.825
classification_error,6,15,0.825
classification_error,6,16,0.825
classification_error,6,17,0.825
classification_error,6,18,0.825
classification_error,6,19,0.825
classification_error,6,20,0.825
classification_error,7,2,0.8275
classification_error,7,3,0.8275
classification_error,7,4,0.8275
classification_error,7,5,0.8275
classification_error,7,6,0.8275
classification_error,7,7,0.825
classification_error,7,8,0.825
classification_error,7,9,0.825
classification_error,7,10,0.825
classification_error,7,11,0.825
classification_error,7,12,0.825
classification_error,7,13,0.825
classification_error,7,14,0.825
classification_error,7,15,0.825
classification_error,7,16,0.825
classification_error,7,17,0.825
classification_error,7,18,0.825
classification_error,7,19,0.825
classification_error,7,20,0.825
classification_error,8,2,0.8225
classification_error,8,3,0.8225
classification_error,8,4,0.8225
classification_error,8,5,0.8225
classification_error,8,6,0.8225
classification_error,8,7,0.82
classification_error,8,8,0.82
classification_error,8,9,0.82
classification_error,8,10,0.82
classification_error,8,11,0.82
classification_error,8,12,0.82
classification_error,8,13,0.82
classification_error,8,14,0.82
classification_error,8,15,0.82
classification_error,8,16,0.82
classification_error,8,17,0.82
classification_error,8,18,0.82
classification_error,8,19,0.82
classification_error,8,20,0.82
classification_error,9,2,0.8225
classification_error,9,3,0.8225
classification_error,9,4,0.82
classification_error,9,5,0.82
classification_error,9,6,0.82
classification_error,9,7,0.8175
classification_error,9,8,0.8175
classification_error,9,9,0.8175
classification_error,9,10,0.8175
classification_error,9,11,0.8175
classification_error,9,12,0.8175
classification_error,9,13,0.8175
classification_error,9,14,0.8175
classification_error,9,15,0.8175
classification_error,9,16,0.8175
classification_error,9,17,0.8175
classification_error,9,18,0.8175
classification_error,9,19,0.8175
classification_error,9,20,0.8175
classification_error,10,2,0.8175
classification_error,10,3,0.8175
classification_error,10,4,0.815
classification_error,10,5,0.815
classification_error,10,6,0.815
classification_error,10,7,0.8125
classification_error,10,8,0.8125
classification_error,10,9,0.8125
classification_error,10,10,0.8125
classification_error,10,11,0.8125
classification_error,10,12,0.8125
classification_error,10,13,0.8125
classification_error,10,14,0.8125
classification_error,10,15,0.8125
classification_error,10,16,0.8125
classification_error,10,17,0.8125
classification_error,10,18,0.8125
classification_error,10,19,0.8125
classification_error,10,20,0.8125
classification_error,11,2,0.82
classification_error,11,3,0.82
classification_error,11,4,0.8175
classification_error,11,5,0.8175
classification_error,11,6,0.8175
classification_error,11,7,0.815
classification_error,11,8,0.815
classification_error,11,9,0.815
classification_error,11,10,0.815
classification_error,11,11,0.815
classification_error,11,12,0.815
classification_error,11,13,0.815
classification_error,11,14,0.815
classification_error,11,15,0.815
classification_error,11,16,0.815
classification_error,11,17,0.815
classification_error,11,18,0.815
classification_error,11,19,0.815
classification_error,11,20,0.815
classification_error,12,2,0.815
classification_error,12,3,0.815
classification_error,12,4,0.8125
classification_error,12,5,0.8125
classification_error,12,6,0.8125
classification_error,12,7,0.81
classification_error,12,8,0.81
classification_error,12,9,0.81
classification_error,12,10,0.81
classification_error,12,11,0.81
classification_error,12,12,0.81
classification_error,12,13,0.81
classification_error,12,14,0.81
classification_error,12,15,0.81
classification_error,12,16,0.81
classification_error,12,17,0.81
classification_error,12,18,0.81
classification_error,12,19,0.81
classification_error,12,20,0.81
classification_error,13,2,0.8125
classification_error,13,3,0.8125
classification_error,13,4,0.81
classification_error,13,5,0.81
classification_error,13,6,0.81
classification_error,13,7,0.805
classification_error,13,8,0.805
classification_error,13,9,0.805
classification_error,13,10,0.805
classification_error,13,11,0.805
classification_error,13,12,0.805
classification_error,13,13,0.805
classification_error,13,14,0.805
classification_error,13,15,0.805
classification_error,13,16,0.805
classification_error,13,17,0.805
classification_error,13,18,0.805
classification_error,13,19,0.805
classification_error,13,20,0.805
classification_error,14,2,0.8125
classification_error,14,3,0.8125
classification_error,14,4,0.81
classification_error,14,5,0.81
classification_error,14,6,0.81
classification_error,14,7,0.805
classification_error,14,8,0.805
classification_error,14,9,0.805
classification_error,14,10,0.805
classification_error,14,11,0.805
classification_error,14,12,0.805
classification_error,14,13,0.805
classification_error,14,14,0.8025
classification_error,14,15,0.8025
classification_error,14,16,0.8025
classification_error,14,17,0.8025
classification_error,14,18,0.8025
classification_error,14,19,0.8025
classification_error,14,20,0.8025
classification_error,15,2,0.8125
classification_error,15,3,0.8125
classification_error,15,4,0.81
classification_error,15,5,0.81
classification_error,15,6,0.8075
classification_error,15,7,0.8025
classification_error,15,8,0.8025
classification_error,15,9,0.805
classification_error,15,10,0.805
classification_error,15,11,0.805
classification_error,15,12,0.805
classification_error,15,13,0.805
classification_error,15,14,0.8025
classification_error,15,15,0.8025
classification_error,15,16,0.8025
classification_error,15,17,0.8025
classification_error,15,18,0.8025
classification_error,15,19,0.8025
classification_error,15,20,0.8025
classification_error,16,2,0.8125
classification_error,16,3,0.8125
classification_error,16,4,0.81
classification_error,16,5,0.81
classification_error,16,6,0.8075
classification_error,16,7,0.8025
classification_error,16,8,0.8025
classification_error,16,9,0.805
classification_error,16,10,0.805
classification_error,16,11,0.805
classification_error,16,12,0.805
classification_error,16,13,0.805
classification_error,16,14,0.8025
classification_error,16,15,0.8025
classification_error,16,16,0.8025
classification_error,16,17,0.8025
classification_error,16,18,0.8025
classification_error,16,19,0.8025
classification_error,16,20,0.8025
classification_error,17,2,0.815
classification_error,17,3,0.815
classification_error,17,4,0.8125
classification_error,17,5,0.8125
classification_error,17,6,0.81
classification_error,17,7,0.805
classification_error,17,8,0.805
classification_error,17,9,0.8075
classification_error,17,10,0.8075
classification_error,17,11,0.8075
classification_error,17,12,0.8075
classification_error,17,13,0.8075
classification_error,17,14,0.805
classification_error,17,15,0.805
classification_error,17,16,0.805
classification_error,17,17,0.805
classification_error,17,18,0.805
classification_error,17,19,0.805
classification_error,17,20,0.805
classification_error,18,2,0.8175
classification_error,18,3,0.8175
classification_error,18,4,0.815
classification_error,18,5,0.815
classification_error,18,6,0.8125
classification_error,18,7,0.8075
classification_error,18,8,0.8075
classification_error,18,9,0.81
classification_error,18,10,0.81
classification_error,18,11,0.81
classification_error,18,12,0.81
classification_error,18,13,0.81
classification_error,18,14,0.8075
classification_error,18,15,0.8075
classification_error,18,16,0.8075
classification_error,18,17,0.8075
classification_error,18,18,0.8075
classification_error,18,19,0.8075
classification_error,18,20,0.8075
classification_error,19,2,0.8075
classification_error,19,3,0.8075
classification_error,19,4,0.805
classification_error,19,5,0.805
classification_error,19,6,0.8025
classification_error,19,7,0.7975
